maz_id,SchoolName,Public_Elem,Public_Midl,Public_High,PriCha_Elem,PriCha_Midl,PriCha_High,Enrol_Elem,Enrol_Midl,Enrol_High
9920,Westland School,596,0,0,0,0,0,596,0,0
9931,ABC Great Beginnings - West Jordan,0,0,0,0,0,0,0,0,0
9951,Oquirrh School,525,0,0,0,0,0,525,0,0
9989,Butler School,600,0,0,0,0,0,600,0,0
9997,Mountain Shadows School,596,0,0,0,0,0,596,0,0
10004,Majestic SchoolWest Jordan Middle,320,1001,0,0,0,0,320,1001,0
10009,Heartland School,403,0,0,0,0,0,403,0,0
10044,Smart Kids West Jordan,0,0,0,0,0,0,0,0,0
10060,East Midvale School,479,0,0,0,0,0,479,0,0
10103,The School of Autistic Healing,0,0,0,0,0,0,0,0,0
10120,Children's Christian School,0,0,0,0,0,0,0,0,0
10137,Navigator Pointe Academy,0,0,0,332,43,0,332,43,0
10342,Jim Bridger School,298,0,0,0,0,0,298,0,0
10382,Longview School,323,0,0,0,0,0,323,0,0
10393,Diamond Ridge School,483,0,0,0,0,0,483,0,0
10422,Falcon Ridge School,674,0,0,0,0,0,674,0,0
10454,Wonderbloom,0,0,0,0,0,0,0,0,0
10468,Bennion Jr High,0,1023,0,0,0,0,0,1023,0
10483,Bennion School,408,0,0,0,0,0,408,0,0
10486,Fox Hills School,553,0,0,0,0,0,553,0,0
10493,Kids World,0,0,0,0,0,0,0,0,0
10518,Liberty School,244,0,0,0,0,0,244,0,0
10521,Grant School,322,0,0,0,0,0,322,0,0
10533,Woodstock School,584,0,0,0,0,0,584,0,0
10550,Calvin S. Smith School,495,0,0,0,0,0,495,0,0
10583,Cottonwood HighAcademy for Math Engineering & Science,0,0,1453,0,0,458,0,0,1911
10591,Mcmillan School,417,0,0,0,0,0,417,0,0
10617,Thomas Jefferson Jr High,0,917,0,0,0,0,0,917,0
10636,La Europa Academy,0,0,0,0,0,0,0,0,0
10640,Viewmont School,433,0,0,0,0,0,433,0,0
10662,Thomas W. Bacchus School,315,0,0,0,0,0,315,0,0
10671,Riverview Jr High,0,619,0,0,0,0,0,619,0
10672,Mount Vernon AcademyChrist Lutheran ElemMount Vernon Academy,0,0,0,0,0,0,0,0,0
10721,South Kearns School,480,0,0,0,0,0,480,0,0
10767,Entheos Academy,0,0,0,0,0,0,0,0,0
10805,St. Francis Xavier Regional Sch,0,0,0,0,0,0,0,0,0
10847,Murray High,0,0,1360,0,0,0,0,0,1360
10855,Hillcrest Jr High,0,698,0,0,0,0,0,698,0
10896,Building Blocks of Children's Service Society,0,0,0,0,0,0,0,0,0
10913,Kearns Jr High,0,731,0,0,0,0,0,731,0
10926,Cottonwood School,340,0,0,0,0,0,340,0,0
10938,Horizon School,669,0,0,0,0,0,669,0,0
10952,Plymouth SchoolTaylorsville HighHartvigsen School,547,28,2699,0,0,0,547,28,2699
10964,Smart Kids Kearns,0,0,0,0,0,0,0,0,0
10990,Parkside School,454,0,0,0,0,0,454,0,0
11001,St. Vincent de Paul Elementary,0,0,0,0,0,0,0,0,0
11011,Saint Sophia School,0,0,0,0,0,0,0,0,0
11016,David Gourley School,385,0,0,0,0,0,385,0,0
11018,West Kearns School,507,0,0,0,0,0,507,0,0
11023,Arcadia School,399,0,0,0,0,0,399,0,0
11044,Vista School,509,0,0,0,0,0,509,0,0
11089,Wasatch Waldorf Charter School,0,0,0,511,117,0,511,117,0
11095,Silver Hills School,380,0,0,0,0,0,380,0,0
11103,Lit'L Scholars Taylorsville IncLittle Orchard Learning Center Taylorsville,0,0,0,0,0,0,0,0,0
11230,Learning Tree East,0,0,0,0,0,0,0,0,0
11237,Utah Virtual Academy,0,0,0,0,0,0,0,0,0
11275,John F. Kennedy Jr High,0,774,0,0,0,0,0,774,0
11352,Eisenhower Jr High,0,1039,0,0,0,0,0,1039,0
11360,Oakridge School,279,0,0,0,0,0,279,0,0
11371,Churchill Jr High,0,521,0,0,0,0,0,521,0
11383,Howard R. Driggs School,437,0,0,0,0,0,437,0,0
11390,James E. Moss School,505,0,0,0,0,0,505,0,0
11399,YMCA of Northern Utah - Salt Lake CountyJohn C. Fremont School,326,0,0,0,0,0,326,0,0
11416,Hillside School,437,0,0,0,0,0,437,0,0
11429,Taylorsville School,364,0,0,0,0,0,364,0,0
11458,Crestview School,467,0,0,0,0,0,467,0,0
11461,Hunter High,0,0,2490,0,0,0,0,0,2490
